Date,EmpID,Gender,Age,EthnicGroup,FP,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
01 January 2015,1950,M,36,Group A,PT,No,North,27 August 2008,Hourly,Unknown,30-49,857,28.57,0
01 January 2015,5202,M,22,Group E,PT,No,North,12 August 2010,Hourly,Unknown,20-29,142,4.73,0
01 January 2015,16664,M,24,Group F,PT,No,North,25 September 2008,Hourly,Unknown,20-29,828,27.6,0
01 January 2015,17146,F,21,Group D,PT,No,West,16 November 2010,Hourly,Unknown,20-29,46,1.53,0
01 January 2015,18230,M,45,Group A,PT,No,North,24 October 2007,Hourly,Unknown,30-49,1165,38.83,0
01 January 2015,21208,M,27,Group A,FT,No,Northwest,13 July 2000,Hourly,Unknown,20-29,3824,127.47,0
01 January 2015,21544,F,24,Group B,PT,No,Northwest,02 September 2010,Hourly,Unknown,20-29,121,4.03,0
01 January 2015,26228,M,53,Group D,PT,No,North,17 September 2008,Hourly,Unknown,50-65,836,27.87,0
01 January 2015,26954,M,85,Group B,PT,No,West,27 August 2009,Hourly,Unknown,50-65,492,16.4,0
01 January 2015,29062,M,41,Group G,FT,No,Midwest,26 May 2009,Hourly,Unknown,30-49,585,19.5,0
01 January 2015,29632,M,26,Group F,PT,No,Central,01 April 2010,Hourly,Unknown,20-29,275,9.17,0
01 January 2015,30248,F,37,Group C,FT,No,Northwest,14 November 2006,Hourly,Unknown,30-49,1509,50.3,0
01 January 2015,33124,M,25,Group F,PT,No,North,14 August 2007,Hourly,Unknown,20-29,1236,41.2,0
01 January 2015,33240,F,28,Group E,FT,No,Midwest,26 June 2002,Salary,Unknown,20-29,3111,103.7,0
01 January 2015,33258,M,33,Group D,FT,No,West,04 April 2008,Salary,Unknown,30-49,1002,33.4,0
01 January 2015,33262,F,46,Group E,FT,No,Northwest,19 March 2008,Salary,Unknown,30-49,1018,33.93,0
01 January 2015,33288,F,44,Group G,FT,No,East,16 July 2008,Salary,Unknown,30-49,899,29.97,0
01 January 2015,33296,F,31,Group G,FT,No,East,27 August 2008,Salary,Unknown,30-49,857,28.57,0
01 January 2015,40406,M,46,Group B,FT,No,North,09 April 2005,Hourly,Unknown,30-49,2093,69.77,0
01 January 2015,40436,F,22,Group C,PT,No,North,21 June 2007,Hourly,Unknown,20-29,1290,43,0
01 January 2015,40472,F,54,Group E,FT,No,North,18 May 2005,Hourly,Unknown,50-65,2054,68.47,0
01 January 2015,40542,M,44,Group D,PT,No,North,21 June 2005,Hourly,Unknown,30-49,2020,67.33,0
01 January 2015,40548,F,28,Group E,FT,No,North,02 May 2007,Hourly,Unknown,20-29,1340,44.67,0
01 January 2015,40554,M,65,Group C,PT,No,North,23 February 2007,Hourly,Unknown,50-65,1408,46.93,0
01 January 2015,40754,F,21,Group D,PT,No,North,07 August 2008,Hourly,Unknown,20-29,877,29.23,0
01 January 2015,41050,M,26,Group F,PT,No,Midwest,29 December 2007,Hourly,Unknown,20-29,1099,36.63,0
01 January 2015,41082,F,20,Group F,PT,No,Midwest,18 February 2010,Hourly,Unknown,20-29,317,10.57,0
01 January 2015,41332,M,23,Group G,FT,No,Midwest,20 October 2009,Hourly,Unknown,20-29,438,14.6,0
01 January 2015,41344,M,63,Group F,PT,No,Midwest,30 August 2005,Hourly,Unknown,50-65,1950,65,0
01 January 2015,42684,M,22,Group A,FT,No,South,14 February 2006,Hourly,Unknown,20-29,1782,59.4,0
01 January 2015,42892,M,56,Group G,FT,No,South,19 June 2007,Hourly,Unknown,50-65,1292,43.07,0
01 January 2015,43356,F,20,Group B,FT,No,South,02 September 2009,Hourly,Unknown,20-29,486,16.2,0
01 January 2015,43440,F,23,Group G,FT,No,North,31 May 2007,Hourly,Unknown,20-29,1311,43.7,0
01 January 2015,43526,M,55,Group C,FT,No,North,26 April 2008,Hourly,Unknown,50-65,980,32.67,0
01 January 2015,43538,M,23,Group C,PT,No,North,12 June 2008,Hourly,Unknown,20-29,933,31.1,0
01 January 2015,43610,M,22,Group C,PT,No,North,20 March 2007,Hourly,Unknown,20-29,1383,46.1,0
01 January 2015,43612,M,52,Group G,PT,No,North,27 February 2007,Hourly,Unknown,50-65,1404,46.8,0
01 January 2015,43672,F,20,Group D,FT,No,North,03 November 2006,Hourly,Unknown,20-29,1520,50.67,0
01 January 2015,43678,M,57,Group A,FT,No,North,09 April 2007,Hourly,Unknown,50-65,1363,45.43,0
01 January 2015,43738,M,20,Group D,PT,No,North,22 June 2010,Hourly,Unknown,20-29,193,6.43,0
01 January 2015,43776,M,24,Group D,PT,No,Midwest,06 July 2005,Hourly,Unknown,20-29,2005,66.83,0
01 January 2015,43790,F,62,Group D,FT,No,Midwest,01 August 2009,Hourly,Unknown,50-65,518,17.27,0
01 January 2015,43918,M,47,Group A,PT,No,Midwest,09 March 2010,Hourly,Unknown,30-49,298,9.93,0
01 January 2015,44006,F,24,Group E,PT,No,Midwest,26 February 2007,Hourly,Unknown,20-29,1405,46.83,0
01 January 2015,44044,M,60,Group A,PT,No,Midwest,13 February 2007,Hourly,Unknown,50-65,1418,47.27,0
01 January 2015,44062,M,29,Group C,FT,No,Midwest,12 August 2006,Hourly,Unknown,20-29,1603,53.43,0
01 January 2015,44110,M,24,Group D,PT,No,Midwest,24 June 2009,Hourly,Unknown,20-29,556,18.53,0
01 January 2015,49036,M,52,Group G,FT,No,Central,13 October 2005,Hourly,Unknown,50-65,1906,63.53,0
01 January 2015,49040,F,45,Group F,PT,No,South,02 June 2010,Hourly,Unknown,30-49,213,7.1,0
01 January 2015,49054,F,24,Group F,PT,No,South,13 July 2006,Hourly,Unknown,20-29,1633,54.43,0
01 January 2015,49142,M,31,Group A,PT,No,Midwest,22 March 2008,Hourly,Unknown,30-49,1015,33.83,0
01 January 2015,49164,F,50,Group A,FT,No,South,17 April 2008,Hourly,Unknown,50-65,989,32.97,0
01 January 2015,49188,F,48,Group B,FT,No,Midwest,10 March 1981,Hourly,Unknown,30-49,10889,362.97,0
01 January 2015,49302,F,19,Group A,PT,No,North,13 December 2007,Hourly,Unknown,20-29,1115,37.17,0
01 January 2015,49550,M,46,Group G,FT,No,West,16 March 2008,Hourly,Unknown,30-49,1021,34.03,0
01 January 2015,49666,F,31,Group A,FT,No,Midwest,26 January 2007,Hourly,Unknown,30-49,1436,47.87,0
01 January 2015,49716,F,59,Group E,FT,No,Central,27 July 2007,Hourly,Unknown,50-65,1254,41.8,0
01 January 2015,49748,F,49,Group E,FT,No,Northwest,21 November 2001,Hourly,Unknown,30-49,3328,110.93,0
01 January 2015,49776,F,26,Group A,FT,No,North,12 July 2006,Hourly,Unknown,20-29,1634,54.47,0
01 January 2015,49794,F,40,Group G,FT,No,South,18 January 1989,Hourly,Unknown,30-49,8018,267.27,0
01 January 2015,49832,F,27,Group F,FT,No,West,14 July 2004,Hourly,Unknown,20-29,2362,78.73,0
01 January 2015,49922,F,23,Group F,PT,No,Central,05 March 2008,Hourly,Unknown,20-29,1032,34.4,0
01 January 2015,50278,F,54,Group F,FT,No,North,13 October 2000,Hourly,Unknown,50-65,3732,124.4,0
01 January 2015,50282,F,52,Group D,PT,No,South,15 October 2002,Hourly,Unknown,50-65,3000,100,0
01 January 2015,50304,F,29,Group F,FT,No,Central,23 July 2009,Hourly,Unknown,20-29,527,17.57,0
01 January 2015,50306,F,41,Group C,FT,No,Central,08 November 2005,Hourly,Unknown,30-49,1880,62.67,0
01 January 2015,50318,F,40,Group A,FT,No,Midwest,13 September 2005,Hourly,Unknown,30-49,1936,64.53,0
01 January 2015,50322,F,27,Group G,FT,No,West,01 December 2007,Hourly,Unknown,20-29,1127,37.57,0
01 January 2015,50336,F,27,Group A,FT,No,West,15 September 2005,Hourly,Unknown,20-29,1934,64.47,0
01 January 2015,50342,F,30,Group C,FT,No,Central,01 May 2008,Hourly,Unknown,30-49,975,32.5,0
01 January 2015,50386,F,20,Group A,FT,No,North,11 September 2010,Hourly,Unknown,20-29,112,3.73,0
01 January 2015,50426,F,40,Group E,FT,No,Northwest,30 June 2004,Hourly,Unknown,30-49,2376,79.2,0
01 January 2015,50438,F,56,Group G,FT,No,West,29 March 2005,Hourly,Unknown,50-65,2104,70.13,0
01 January 2015,50470,F,55,Group D,FT,No,Midwest,21 November 1974,Hourly,Unknown,50-65,13190,439.67,0
01 January 2015,50838,M,22,Group G,FT,No,West,23 April 2010,Hourly,Unknown,20-29,253,8.43,0
01 January 2015,50884,F,54,Group E,FT,No,North,15 April 2005,Hourly,Unknown,50-65,2087,69.57,0
01 January 2015,51010,M,32,Group B,FT,No,West,05 August 2009,Hourly,Unknown,30-49,514,17.13,0
01 January 2015,51146,F,33,Group D,FT,No,Central,24 June 1995,Hourly,Unknown,30-49,5670,189,0
01 January 2015,51236,F,68,Group B,FT,No,Central,15 April 2004,Hourly,Unknown,50-65,2452,81.73,0
01 January 2015,51312,M,25,Group D,FT,No,Northwest,22 September 2004,Hourly,Unknown,20-29,2292,76.4,0
01 January 2015,51316,F,65,Group C,FT,No,Northwest,30 October 2007,Hourly,Unknown,50-65,1159,38.63,0
01 January 2015,51324,M,28,Group B,FT,No,Northwest,18 March 2004,Hourly,Unknown,20-29,2480,82.67,0
01 January 2015,51548,M,47,Group B,FT,No,Central,14 December 2008,Hourly,Unknown,30-49,748,24.93,0
01 January 2015,51622,F,38,Group D,FT,No,Central,23 June 1998,Hourly,Unknown,30-49,4575,152.5,0
01 January 2015,51916,F,54,Group C,FT,No,South,13 May 2003,Hourly,Unknown,50-65,2790,93,0
01 January 2015,51922,M,48,Group G,FT,No,South,12 August 2004,Hourly,Unknown,30-49,2333,77.77,0
01 January 2015,51994,M,55,Group E,PT,No,Northwest,10 November 2004,Hourly,Unknown,50-65,2243,74.77,0
01 January 2015,52010,M,32,Group F,PT,No,Northwest,01 May 2003,Hourly,Unknown,30-49,2802,93.4,0
01 January 2015,52212,M,63,Group E,PT,No,Northwest,13 September 2006,Hourly,Unknown,50-65,1571,52.37,0
01 January 2015,52238,M,41,Group E,PT,No,Northwest,13 July 2005,Hourly,Unknown,30-49,1998,66.6,0
01 January 2015,52290,M,61,Group G,PT,No,West,30 October 2007,Hourly,Unknown,50-65,1159,38.63,0
01 January 2015,52292,M,32,Group D,FT,No,West,07 June 2005,Hourly,Unknown,30-49,2034,67.8,0
01 January 2015,52332,M,58,Group C,PT,No,South,22 January 2002,Hourly,Unknown,50-65,3266,108.87,0
01 January 2015,52536,M,40,Group D,FT,No,Central,25 November 2003,Hourly,Unknown,30-49,2594,86.47,0
01 January 2015,52566,M,54,Group B,FT,No,Central,23 September 2009,Hourly,Unknown,50-65,465,15.5,0
01 January 2015,52682,M,39,Group G,PT,No,Central,04 April 2002,Hourly,Unknown,30-49,3194,106.47,0
01 January 2015,52764,M,28,Group F,FT,No,Central,06 April 2010,Hourly,Unknown,20-29,270,9,0
01 January 2015,52826,M,53,Group C,FT,No,Northwest,01 March 2006,Hourly,Unknown,50-65,1767,58.9,0
01 January 2015,52926,F,43,Group A,PT,No,North,11 May 1988,Hourly,Unknown,30-49,8270,275.67,0
01 January 2015,52934,M,24,Group B,PT,No,North,14 April 2007,Hourly,Unknown,20-29,1358,45.27,0
01 January 2015,52954,M,49,Group G,FT,No,North,28 February 1989,Salary,Unknown,30-49,7977,265.9,0
01 January 2015,52966,F,22,Group E,PT,No,North,15 April 2009,Hourly,Unknown,20-29,626,20.87,0
01 January 2015,52968,M,34,Group F,FT,No,North,28 March 2007,Salary,Unknown,30-49,1375,45.83,0
01 January 2015,52970,M,35,Group A,FT,No,North,12 October 1996,Salary,Unknown,30-49,5194,173.13,0
01 January 2015,52972,F,22,Group C,PT,No,North,09 October 2007,Hourly,Unknown,20-29,1180,39.33,0
01 January 2015,52982,M,25,Group G,FT,No,North,29 June 2006,Hourly,Unknown,20-29,1647,54.9,0
01 January 2015,52984,M,43,Group A,FT,No,North,10 November 1988,Hourly,Unknown,30-49,8087,269.57,0
01 January 2015,53004,M,32,Group A,FT,No,North,26 November 1998,Hourly,Unknown,30-49,4419,147.3,0
01 January 2015,53176,F,43,Group G,FT,No,Midwest,25 November 1992,Hourly,Unknown,30-49,6611,220.37,0
01 January 2015,53218,M,65,Group C,PT,No,Midwest,15 May 2009,Hourly,Unknown,50-65,596,19.87,0
01 January 2015,53250,F,42,Group E,FT,No,South,04 May 2010,Salary,Unknown,30-49,242,8.07,0
01 January 2015,53266,M,49,Group F,FT,No,South,11 June 1991,Hourly,Unknown,30-49,7144,238.13,0
01 January 2015,53292,F,38,Group E,FT,No,South,04 June 1993,Salary,Unknown,30-49,6420,214,0
01 January 2015,53370,M,43,Group D,FT,No,South,20 May 1986,Salary,Unknown,30-49,8992,299.73,0
01 January 2015,53402,F,31,Group B,FT,No,South,20 August 2009,Salary,Unknown,30-49,499,16.63,0
01 January 2015,53412,M,46,Group F,FT,No,South,25 April 2006,Salary,Unknown,30-49,1712,57.07,0
01 January 2015,53554,F,29,Group F,FT,No,Central,28 March 2006,Salary,Unknown,20-29,1740,58,0
01 January 2015,53612,F,51,Group E,FT,No,Central,02 October 2001,Salary,Unknown,50-65,3378,112.6,0
01 January 2015,53652,M,39,Group A,FT,No,Central,21 December 1990,Salary,Unknown,30-49,7316,243.87,0
01 January 2015,53752,M,38,Group A,PT,No,Central,20 November 2007,Hourly,Unknown,30-49,1138,37.93,0
01 January 2015,53804,F,25,Group B,FT,No,Central,31 October 2005,Hourly,Unknown,20-29,1888,62.93,0
01 January 2015,53826,F,48,Group G,FT,No,West,29 August 2006,Salary,Unknown,30-49,1586,52.87,0
01 January 2015,53992,F,59,Group D,FT,No,West,23 February 2007,Hourly,Unknown,50-65,1408,46.93,0
01 January 2015,54048,M,42,Group A,FT,No,West,27 June 2004,Salary,Unknown,30-49,2379,79.3,0
01 January 2015,54082,M,48,Group G,FT,No,West,23 August 2007,Hourly,Unknown,30-49,1227,40.9,0
01 January 2015,54100,M,52,Group B,FT,No,West,15 December 2007,Hourly,Unknown,50-65,1113,37.1,0
01 January 2015,54316,M,21,Group B,PT,No,Northwest,13 September 2006,Hourly,Unknown,20-29,1571,52.37,0
01 January 2015,54338,M,25,Group B,FT,Yes,North,06 January 2011,Hourly,Unknown,20-29,0,0,0
01 January 2015,54472,F,66,Group B,FT,No,Northwest,27 August 2002,Salary,Unknown,50-65,3049,101.63,0
01 January 2015,54510,M,42,Group C,FT,No,Northwest,30 October 2007,Hourly,Unknown,30-49,1159,38.63,0
01 January 2015,54890,F,61,Group A,FT,No,West,05 April 2005,Hourly,Unknown,50-65,2097,69.9,0
01 January 2015,55442,F,71,Group G,FT,No,West,11 March 2003,Hourly,Unknown,50-65,2853,95.1,0
01 January 2015,55648,M,53,Group B,FT,No,Northwest,14 July 2004,Hourly,Unknown,50-65,2362,78.73,0
01 January 2015,55650,M,20,Group E,PT,No,North,26 September 2008,Hourly,Unknown,20-29,827,27.57,0
01 January 2015,55700,F,49,Group B,FT,No,Central,30 August 2005,Hourly,Unknown,30-49,1950,65,0
01 January 2015,55704,M,49,Group G,FT,No,Central,10 May 2005,Hourly,Unknown,30-49,2062,68.73,0
01 January 2015,55722,M,37,Group C,PT,No,Central,04 May 2010,Hourly,Unknown,30-49,242,8.07,0
01 January 2015,55726,M,39,Group E,FT,No,Central,23 October 2008,Hourly,Unknown,30-49,800,26.67,0
01 January 2015,55730,M,19,Group A,PT,No,Central,27 August 2010,Hourly,Unknown,20-29,127,4.23,0
01 January 2015,55734,M,43,Group F,PT,No,Central,30 April 2008,Hourly,Unknown,30-49,976,32.53,0
01 January 2015,55770,M,27,Group E,PT,No,North,11 August 2000,Hourly,Unknown,20-29,3795,126.5,0
01 January 2015,55786,F,23,Group D,PT,No,Midwest,16 November 2007,Hourly,Unknown,20-29,1142,38.07,0
01 January 2015,56246,M,31,Group E,PT,No,Central,04 October 2001,Hourly,Unknown,30-49,3376,112.53,0
01 January 2015,56292,F,30,Group G,FT,No,Central,11 December 2007,Hourly,Unknown,30-49,1117,37.23,0
01 January 2015,56296,M,53,Group D,FT,No,Central,26 March 2010,Hourly,Unknown,50-65,281,9.37,0
01 January 2015,56330,M,50,Group E,FT,No,West,17 November 2009,Hourly,Unknown,50-65,410,13.67,0
01 January 2015,56358,M,61,Group E,PT,No,West,23 February 2007,Hourly,Unknown,50-65,1408,46.93,0
01 January 2015,56490,M,63,Group G,FT,No,South,19 October 1988,Hourly,Unknown,50-65,8109,270.3,0
01 January 2015,56498,M,48,Group C,FT,No,Midwest,27 January 2000,Hourly,Unknown,30-49,3992,133.07,0
01 January 2015,56508,F,26,Group F,FT,No,Midwest,04 August 2004,Hourly,Unknown,20-29,2341,78.03,0
01 January 2015,56516,M,47,Group E,FT,No,Midwest,20 September 1984,Hourly,Unknown,30-49,9599,319.97,0
01 January 2015,56526,M,60,Group C,FT,No,South,30 June 1987,Hourly,Unknown,50-65,8586,286.2,0
01 January 2015,91744,F,27,Group F,FT,No,North,19 December 2006,Salary,Unknown,20-29,1474,49.13,0
01 January 2015,91824,M,21,Group D,FT,No,North,24 May 2008,Hourly,Unknown,20-29,952,31.73,0
01 January 2015,92056,F,49,Group F,FT,No,East,21 March 2006,Hourly,Unknown,30-49,1747,58.23,0
01 January 2015,92072,F,49,Group B,FT,No,East,26 August 2008,Salary,Unknown,30-49,858,28.6,0
01 January 2015,92166,F,56,Group D,FT,No,East,17 January 2006,Hourly,Unknown,50-65,1810,60.33,0
01 January 2015,92168,F,40,Group B,FT,No,East,13 May 2003,Hourly,Unknown,30-49,2790,93,0
